ID	Year	Source	MST-14	MST-57	MST-69	MST-78	MST-95	MST-127	MST-152	MST-172	MST-336	MST-348
SRR10222642	2019	Bovine	cluster_129	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10224600	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10231461	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10239444	2019	Human	singleton_23	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10244444	2019	Human	cluster_62	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10246259	2019	Bovine	singleton_152	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10247024	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10247051	Unknown	Unspecified Animal	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10247058	Unknown	Unspecified Animal	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10254736	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10254977	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10254989	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10258223	2019	Human	singleton_33	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10258306	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10258362	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10259146	2019	Human	singleton_50	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10269621	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10269622	2019	Bovine	cluster_126	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10269628	2019	Bovine	cluster_126	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10269630	2019	Bovine	cluster_126	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10269631	2019	Bovine	cluster_126	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10269633	2019	Bovine	cluster_126	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10269634	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10269673	2019	Bovine	cluster_126	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10276286	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10276322	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10281891	2019	Human	singleton_545	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10286960	2019	Bovine	singleton_413	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10287053	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10287065	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10287713	2019	Human	cluster_129	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10292498	2019	Human	cluster_131	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10292505	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10309686	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10309688	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10309887	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10309975	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10325385	2019	Human	cluster_87	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10326209	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10335944	2019	Other	cluster_129	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10336448	2019	Human	singleton_478	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10337448	2019	Human	cluster_51	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10338026	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10341301	2019	Bovine	singleton_173	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343288	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343295	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343296	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343297	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343298	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343299	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343300	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343301	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343302	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343303	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343304	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10343305	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10349484	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10349492	2019	Bovine	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10349504	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10349510	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10356381	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10356966	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10360903	2019	Bovine	singleton_261	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10363909	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10363935	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10363936	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10363937	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10363939	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10363981	2019	Bovine	cluster_143	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10368391	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10384071	2019	Human	singleton_491	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10384322	2019	Human	cluster_63	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10392715	2019	Human	cluster_131	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10395059	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10395215	2019	Human	singleton_48	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10396490	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10403091	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10412085	2019	Other	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10412140	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10425329	2019	Human	cluster_129	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10429896	2019	Human	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10435105	2019	Bovine	singleton_322	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10438786	2019	Human	singleton_274	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10442241	2019	Human	cluster_129	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
SRR10443622	Unknown	Unspecified Animal	cluster_144	cluster_10	cluster_9	cluster_9	cluster_9	cluster_10	cluster_8	cluster_7	cluster_4	cluster_3
